title,author,narrator,series,runtime (in minutes),release_date,language,total_ratings,stars (out of 5),price (in rupees)
Sherlock Holmes and the Three Winter Terrors,James Lovegrove,Dennis Kleinman,NA,646,12-10-21,English,78,4.5,937.00
The Prophet,Khalil Gibrán,Arundhati Raja,NA,90,23-08-17,English,83,4.5,490.00
Sita's Sister,Kavita Kane,Hina Baxi,NA,694,01-01-17,English,32,4.5,284.00
Roald Dahl Reads Charlie and the Chocolate Factory and Four More Stories,Roald Dahl,Roald Dahl,"Charlie Bucket, Book 1",220,01-09-16,English,13,5,615.00
Buffett & Graham Se Seekhen Share Market Mein Invest Karna (Hindi Edition),Aryaman Dalmia,Parvez Quadir,NA,194,13-12-18,Hindi,32,4,266.00
The Buddha Said,Osho,Osho,NA,2157,28-07-16,English,128,5,586.00
To Love Jason Thorn,Ella Maise,"Lidia Dornet, Sebastian York",NA,680,12-04-16,English,17,4,820.00
Think like a Stoic,"Massimo Pigliucci, The Great Courses",Professor Massimo Pigliucci,NA,670,26-03-21,English,15,4.5,1171.00
Walking in Zen Sitting in Zen,OSHO,OSHO,NA,1595,24-02-22,English,16,5,586.00
HBR's 10 Must Reads on Mental Toughness,"Harvard Business Review, Martin E. P. Seligman, Tony Schwartz, Warren G. Bennis, Robert J. Thomas","Emily Durante, Tim Paige",HBR's 10 Must Reads series,270,24-12-19,English,24,4,586.00
The Dhandho Investor,Mohnish Pabrai,Neil Shah,NA,304,30-07-19,English,494,4.5,469.00
Godaan (Hindi Edition),Munshi Premchand,Sameer Goswami,NA,977,26-02-20,Hindi,506,5,205.00
Escaping the Build Trap,Melissa Perri,Erin deWard,NA,404,30-06-20,English,46,4.5,586.00
The Woman in White,Wilkie Collins,Ian Holm,NA,1477,27-08-10,English,28,4.5,987.00
"Life, the Universe, and Everything",Douglas Adams,Martin Freeman,"Hitchhiker's Guide to the Galaxy, Book 3",344,06-12-12,English,137,4.5,323.00
The Secret of Secrets,Osho,Osho,NA,3212,04-03-16,English,221,5,586.00
"The Essential Rumi, New Expanded Edition","Jalal ad-Din Muhammad Rumi, Coleman Barks - translator, John Moyne - translator, A. J. Arberry - translator, Reynold Nicholson - translator",Robertson Dean,NA,564,03-07-18,English,25,4.5,820.00
Twisted Games,Ana Huang,"Cindy Kay, Aiden Snow","Twisted, Book 2",794,28-06-22,English,77,4.5,703.00
Crime and Punishment,"Fyodor Dostoevsky, Constance Garnett - translator",Anthony Heald,NA,1228,03-12-07,English,245,4.5,1338.00
The Art of Critical Decision Making,"Michael A. Roberto, The Great Courses",Michael A. Roberto,The Great Courses: Business & Economics,742,08-07-13,English,76,4.5,1171.00
Falling in Love Again,Ruskin Bond,Manisha Sethi,NA,332,01-02-17,English,15,4.5,302.00
The Heart Sutra,Osho,Osho,NA,984,01-03-16,English,29,5,445.00
Sahir Ludhiyanvi,Sahir Ludhiyanvi,Manish Singhal,NA,153,19-09-19,Hindi,23,5,0
The Takedown,Lily Chu,Phillipa Soo,NA,655,02-11-23,English,11,4.5,1171.00
Sherlock Holmes: The Voice of Treason,"George Mann, Cavan Scott","Nicholas Boulton, Frances Jeater, Don Gilet, Kobna Holdbrook-Smith, Ivanno Jeremiah, Amy McAllister, full cast",NA,480,16-03-20,English,134,4.5,759.00
The Teacher,Freida McFadden,"Leslie Howard, Danny Montooth",NA,575,06-02-24,English,2,4.5,1641.00
The PCOD Thyroid Book,Rujuta Diwekar,Farah Bala,NA,359,01-01-17,English,61,4.5,284.00
The Chirkuts (Hindi Edition),Alok Kumar,Gautam Pandey,NA,249,13-12-18,Hindi,26,4,142.00
Those Who Wait,Haley Cass,Lori Prince,NA,1266,03-11-20,English,14,5,703.00
The Prophet,Kahlil Gibran,Riz Ahmed,NA,85,26-08-21,English,186,4.5,326.00
One Good Trade,Mike Bellafiore,Kevin Foley,NA,908,10-07-20,English,31,4.5,469.00
The Entrepreneur Roller Coaster,Darren Hardy,Darren Hardy,NA,428,22-01-19,English,179,4.5,608.00
Delegation & Supervision,Brian Tracy,Brian Tracy,NA,129,06-09-13,English,28,4.5,469.00
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,Swetanshu Bora,"Shiva Trilogy, Book 1",885,14-11-22,Hindi,69,4.5,210.00
"Ponniyin Selvan - Part 2 [The Son of Ponni, Part 2]",Kalki,Bombay Kannan,"பொன்னியின் செல்வன் [Ponniyin Selvan], Book 2",841,03-09-20,Tamil,508,5,118.00
Activate Your Vagus Nerve,Dr. Navaz Habib,Jonathan Yen,NA,312,25-06-19,English,38,4.5,469.00
Dracula [Audible Edition],Bram Stoker,"Alan Cumming, Tim Curry, Simon Vance, Katherine Kellgren, Susan Duerden, John Lee, Graeme Malcolm, Steven Crossley",NA,927,20-02-12,English,109,4.5,1003.00
Pudumaipithan Short Stories,Pudhumaipithan,K. Charles,NA,253,20-10-08,Tamil,18,5,468.00
How to Boost Your Physical and Mental Energy,"Kimberlee Bethany Bonura, The Great Courses",Kimberlee Bethany Bonura,The Great Courses: Better Living,377,21-08-15,English,12,5,501.00
The Whole Bible Story,Dr. William H. Marty,Jim Denison,NA,596,13-04-21,English,7,5,703.00
No Excuses!,Brian Tracy,Brian Tracy,NA,411,27-12-09,English,555,4.5,820.00
Lone Wolf,Gregg Hurwitz,Scott Brick,"An Orphan X Thriller, Book 9",792,15-02-24,English,0,0,1093.00
Split Second,David Baldacci,Scott Brick,"King and Maxwell, Book 1",696,20-04-17,English,17,4,323.00
The Invisible Best Friends (Hindi Edition),Jasreen Mand,Shreya Singh,NA,664,07-12-23,Hindi,6,4.5,0
Arabian Nights: Volume 2,Marty Ross,"David Ahmad, Raghad Chaar, Mandana Jones, Alyssa Kyria, Adam Sina, Josh Zare","Arabian Nights: An Audible Original Drama Series, Book 2",343,18-12-18,English,77,4.5,759.00
Silhouette (Hindi Edition),Hermyne Khaling,Pallavi Bharti,NA,871,07-12-23,Hindi,2,4.5,0
Sivagamiyin Sabatham (Tamil Edition),Kalki,Deepika Arun,NA,1733,06-12-22,Tamil,7,4.5,559.00
Dream With Your Eyes Open,Ronnie Screwvala,Ronnie Screwvala,NA,439,05-09-19,English,735,4.5,0
Think and Grow Rich,Napoleon Hill,"Napoleon Hill, Napoleon Hill Foundation",Nightingale-Conant: Achievement,460,14-10-14,English,136,4.5,1774.00
Utsav Amar Jati Anand Amar Gotra,OSHO,OSHO,NA,1071,26-05-17,Hindi,14,5,284.00
Do the New You,Steven Furtick,Steven Furtick,NA,582,13-02-24,English,1,5,500.00
The Contract,Melanie Moreland,"John Lane, Tatiana Sokolov","Contract Series, Book 1",523,11-10-16,English,38,4.5,891.00
Sukh Ki Khoj (Hindi),OSHO,OSHO,NA,109,01-03-16,Hindi,31,4.5,167.00
The Tales of Beedle the Bard,J.K. Rowling,"Warwick Davis, Noma Dumezweni, Jason Isaacs, Jude Law, Evanna Lynch, Sally Mortemore, Bonnie Wright","Wizarding World Collection, Hogwarts Library Books, Wizarding World",95,31-03-20,English,"1,147",4.5,652.00
Sense and Sensibility,Jane Austen,Rosamund Pike,Jane Austen's Novels,685,14-08-18,English,111,4.5,836.00
Anna Karenina,Leo Tolstoy,Maggie Gyllenhaal,NA,2135,12-07-16,English,137,4.5,1338.00
Naqaab,J. P. Pomare,Suchitra Pillai,Naqaab,476,11-08-22,Hindi,135,4.5,460.00
The Krishna Key,Ashwin Sanghi,Nikesh Patel,"Bharat, Book 3",744,01-01-17,English,350,4.5,322.00
Business Sutra,Devdutt Pattanaik,Shriram Iyer,NA,686,01-01-17,English,48,4.5,530.00
Percy Jackson and the Greek Gods,Rick Riordan,Jesse Bernstein,Percy Jackson and the Olympians,743,07-05-15,English,52,4.5,820.00
The Psychology of Selling,Brian Tracy,Brian Tracy,NA,378,30-12-12,English,48,4.5,586.00
The Hoodie Girl (Hindi Edition),Yuen Wright,Prachi Chaube,NA,514,07-12-23,Hindi,7,4.5,0
The Fourth Protocol,Frederick Forsyth,David Rintoul,NA,832,05-10-10,English,16,5,751.00
The Four Foundations of Mindfulness in Plain English,Bhante Henepola Gunaratana,Peter Wickham,"Mindfulness in Plain English, Book 0",322,14-04-16,English,18,4.5,668.00
101 Essays That Will Change the Way You Think,Brianna Wiest,Abby Craden,NA,645,21-08-18,English,97,4.5,586.00
Dom,S.J. Tilly,"Jack Calihan, Chloe Ryan","Alliance Series, Book 3",774,06-02-24,English,1,5,1507.00
Come with Me,Ronald Malfi,Joe Hempel,NA,685,20-07-21,English,9,5,703.00
The Little Book of Behavioral Investing,James Montier,Sean Pratt,NA,302,07-05-10,English,69,4.5,791.00
A Touch of Darkness,Scarlett St. Clair,Meg Sylvan,"Hades & Persephone, Book 1",666,30-06-20,English,36,4,586.00
The Power of Du'a,Aliyah Umm Raiyaan,Aliyah Umm Raiyaan,NA,423,15-02-24,English,0,0,957.00
Devi Bhagwat Puran,Dr. Vinay,Sarvesh Vyas,NA,433,19-07-21,Hindi,47,5,0
Why We Get Sick,Benjamin Bikman PhD,George Newbern,NA,414,21-07-20,English,104,4.5,773.00
Kulti,Mariana Zapata,Callie Dalton,NA,968,28-07-15,English,37,4.5,1172.00
Get Epic Shit Done,Ankur Warikoo,"Ankur Warikoo, Pallavi Bharti",NA,245,17-12-22,English,333,4.5,280.00
The Happy Hooker's Guide to Sex,Xaviera Hollander,Nicole Vilencia,NA,187,02-02-13,English,16,3.5,501.00
The First World War,Michael Howard,Dennis Kleinman,NA,244,27-07-21,English,2,4.5,469.00
An Elderly Lady Is Up to No Good,"Helene Tursten, Marlaine Delargy - Translated by",Suzanne Toren,"Elderly Lady, Book 1",192,11-06-19,English,32,4.5,351.00
Great Stories for Children,Ruskin Bond,Adnan Kapadia,NA,268,01-01-17,English,187,4.5,191.00
The Secret of the Druids (Hindi Edition),Christopher Charles Doyle,Aditya Raj Sharma,NA,775,16-06-23,Hindi,9,4.5,0
The Friction Project,"Robert I. Sutton, Huggy Rao",Sean Patrick Hopkins,NA,524,15-02-24,English,0,0,957.00
Indra Nooyi - A Biography,Annapoorna,Mala Mangla,NA,254,14-10-21,English,376,4.5,0
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake - illustrator",David Tennant,"Charlie Bucket, Book 1",195,08-02-24,English,0,0,615.00
HBR's 10 Must Reads on Reinventing HR,"Harvard Business Review, Marcus Buckingham, Reid Hoffman, Ram Charan, Peter Cappelli","Rick Adamson, Emily Ellet",HBR's 10 Must Reads series,374,24-12-19,English,8,4.5,586.00
"Master Your Time, Master Your Life",Brian Tracy,Brian Tracy,NA,242,11-10-16,English,70,4.5,586.00
Ramayana Versus Mahabharata,Devdutt Pattanaik,Surjan Singh,NA,313,19-11-19,English,132,4.5,251.00
The Monk Who Sold His Ferrari (Hindi),Robin Sharma,Vikrant Chaturvedi,NA,542,01-03-18,Hindi,348,5,218.00
White Sand: Volume One [Dramatized Adaptation],Brandon Sanderson,"Terence Aselford, Alexander Strain, Dawn Ursula, Jason B. McIntosh, Frank Britton, Yasmin Tuazon, Holly Vagley, Peter Holdway, Paul Reisman, KenYatta Rogers, Bradley Smith, Eric Messner, Duyen Washington, Jacob Yeh, full cast","White Sand, Book 1",323,17-10-20,English,5,4,703.00
The Art of Closing the Sale,Brian Tracy,Brian Tracy,NA,266,07-05-10,English,37,5,791.00
Sufis: The People of the Path Vol. 1,Osho,Osho,NA,1559,11-09-19,English,14,4.5,445.00
Sherlock Holmes and the Beast of the Stapletons,James Lovegrove,Dennis Kleinman,NA,549,09-03-21,English,51,4,820.00
Keepers of the Kalachakra (Hindi Edition),Ashwin Sanghi,Pankaj Kalra,NA,791,31-10-23,Hindi,5,4,836.00
My Life as a Quant,Emanuel Derman,Peter Ganim,NA,690,09-07-20,English,8,4,836.00
Thinking Big,"Zig Ziglar, Les Brown, Larry Iverson, Laura Stack, Bob Proctor, Marcia Wieder, Chris Widener, Sheila Murray Bethel, Mark Sanborn","Zig Ziglar, Les Brown, Larry Iverson, Laura Stack, Bob Proctor, Marcia Wieder, Chris Widener, Sheila Murray Bethel, Mark Sanborn",NA,786,22-11-16,English,35,4.5,937.00
Understanding Economics,"Jay R. Corrigan, The Great Courses",Jay R. Corrigan,NA,339,26-02-21,English,22,4.5,333.00
Shakti Rising,"Kavitha M. Chinnaiyan MD, Greg Goode - foreword",Leslie Howard,NA,491,31-03-20,English,9,5,586.00
Confessions of an Economic Hitman,John Perkins,Brian Emerson,NA,556,28-04-05,English,63,4.5,656.00
Forbidden Desires,Madhuri Banerjee,Deepti Gupta,NA,473,01-01-17,English,46,4,308.00
Always Only You,Chloe Liese,"CJ Bloom, Nelson Hobbs","Bergman Brothers, Book 2",618,02-12-20,English,7,4.5,586.00
Exit Strategy,Martha Wells,Kevin R. Free,"Murderbot Diaries, Book 4",226,02-10-18,English,40,4.5,469.00
The Time Traveler's Wife,Audrey Niffenegger,"Fred Berman, Phoebe Strole",NA,1058,08-05-06,English,54,4.5,937.00
Banaras Talkies (Hindi Edition),Satya Vyas,Parvez Gauhar,NA,360,29-10-18,Hindi,114,4.5,154.00
Winning the Loser's Game,Charles D. Ellis,Andrew B. Wehrlen,NA,397,10-08-21,English,4,5,586.00
A Quiet Life in 7 Steps,Susan Cain,Susan Cain,NA,278,11-01-24,English,4,5,836.00
"The History of the United States, 2nd Edition","The Great Courses, Allen C. Guelzo, Gary W. Gallagher, Patrick N. Allitt","Allen C. Guelzo, Gary W. Gallagher, Patrick N. Allitt",The Great Courses: Modern History,2603,08-07-13,English,6,4,2008.00
The Gita for Children,Roopa Pai,Sagar Arya,NA,470,19-03-17,English,75,4.5,335.00
The Dragon's Blade Trilogy,Michael R. Miller,Dave Cruse,"Dragon's Blade, Book 1-3",2758,07-08-19,English,19,4.5,1003.00
Dracula,Bram Stoker,"Patricia Allison, Rachel Atkins, Daisy Edgar-Jones, Jason Forbes, Theo James, Harry Myers, Himesh Patel, Jason Watkins, Richard Reed",NA,1105,21-10-21,English,14,5,873.00
The Devil's Alternative,Frederick Forsyth,David Rintoul,NA,974,20-01-13,English,27,4.5,820.00
That Night (Hindi Edition),Nidhi Upadhyay,Pallavi Bharti,NA,466,22-08-23,Hindi,18,4,668.00
The Strength In Our Scars,Bianca Sparacino,Rachel L. Jacobs,NA,130,28-07-20,English,26,4.5,234.00
The Secret Wish List,Preeti Shenoy,Deepti Gupta,NA,462,01-01-17,English,83,4.5,243.00
50 Psychology Classics,Tom Butler-Bowdon,Lloyd James,NA,744,07-02-07,English,12,5,703.00
Saty Ke Prayog [The Story of My Experiments with Truth],Mohandas K. Gandhi,Kafeel Jafri,NA,1077,14-10-21,Hindi,27,4.5,0
The Psychology of Money (Marathi Edition),Morgan Housel,Sachin Suresh,NA,530,12-09-23,Hindi,9,5,668.00
Persuader,Lee Child,Jeff Harding,"Jack Reacher, Book 7",856,09-11-17,English,46,4.5,957.00
Genome,Matt Ridley,Paul Matthews,NA,867,24-11-17,English,28,5,746.00
24 Hours in Paris (Hindi Edition),Romi Moondi,Jasleen Bhalla,NA,592,07-12-23,Hindi,2,3,0
"Change Your Thinking, Change Your Life",Brian Tracy,Brian Tracy,NA,537,30-05-14,English,16,5,820.00
33 Strategies of War,Robert Greene,Donald Coren,NA,1650,22-07-15,English,57,5,820.00
The Future of Humanity,Michio Kaku,Feodor Chin,NA,742,28-02-18,English,61,4.5,820.00
Thou Shall Prosper,Rabbi Daniel Lapin,A.C. Fellner,NA,1073,17-07-20,English,14,4.5,836.00
Bentley,Melanie Moreland,"Maxine Mitchell, John Lane","Vested Interest Series, Book 1",443,17-04-18,English,8,4.5,586.00
The Complete George Smiley Radio Dramas,John le Carré,"full cast, Simon Russell Beale","Smiley Radio Plays, Book 1-8",1139,02-06-16,English,19,4.5,1093.00
Daylight,David Baldacci,"Brittany Pressley, Kyf Brewer","John Puller, Book 5, An Atlee Pine Thriller, Book 3",696,12-11-20,English,20,4.5,323.00
The Diary of a Young Girl (Marathi Edition),Anne Frank,Madhavi Ganpule,NA,856,31-10-23,Hindi,2,5,836.00
Do It Now: Overcoming Procrastination,"Fuschia Sirois, The Great Courses",Fuschia Sirois,NA,251,02-09-21,English,117,4.5,836.00
Satyayoddha Kalki: Eye of Brahma,Kevin Missal,Manish Dongardive,"Kalki Trilogy, Book 2",721,22-12-21,English,148,4.5,836.00
H.G. Wells: The Science Fiction Collection,H. G. Wells,"Hugh Bonneville, Jason Isaacs, Sophie Okonedo, David Tennant, Alexander Vlahos, Eli Roth - introduction",NA,1635,11-04-19,English,50,4.5,1898.00
The Fabric of the Cosmos,Brian Greene,Michael Prichard,NA,1356,12-02-04,English,25,5,1633.00
Anandmath (Hindi Edition),Bankim Chandra Chattopadhyay,Rishi Upadhyay,NA,359,19-07-21,Hindi,63,4.5,0
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Stephen Fry,"Harry Potter, Book 2, Wizarding World, Book 2",583,20-11-15,English,"1,124",5,999.00
Kamayani (Hindi Edition),Jaishankar Prasad,Kafeel Jafri,NA,233,14-10-21,Hindi,7,4.5,0
Dhyan Niyam [Meditation Rules],Sirshree,Ravinderr Singh,NA,383,09-06-20,Hindi,5,4.5,350.00
Whispering in the Dark ,Ruskin Bond,Uplaksh Kochhar,NA,366,11-12-18,English,3,4.5,314.00
Deep Work (Marathi Edition),Cal Newport,Aniket Khadye,NA,596,16-11-23,Hindi,0,0,668.00
Annihilation of Caste (Marathi Edition),B. R. Ambedkar,Sagar Kadam,NA,216,26-09-23,Hindi,4,5,501.00
Turbulence,E. J. Noyes,Abby Craden,NA,550,02-11-19,English,5,4.5,703.00
Homo Deus (Marathi Edition),Yuval Noah Harari,Milind Phatak,NA,1049,13-12-23,Hindi,1,5,1003.00
The Metamorphosis,Franz Kafka,Ralph Cosham,NA,123,27-04-11,English,277,4,333.00
The Last Straw,Jeff Kinney,Dan Russell,"Diary of a Wimpy Kid, Book 3",157,29-03-18,English,31,4.5,410.00
Financial Intelligence,"Karen Berman, Joe Knight",Tom Zingarelli,NA,440,13-05-15,English,21,5,938.00
Fifty Shades of Grey (Hindi Edition),E. L. James,Riddhi Dave,"Fifty Shades of Grey (Hindi Edition), Book 1",1308,19-07-21,Hindi,26,4,1171.00
French Women Don't Get Fat,Mireille Guiliano,Kathe Mazur,NA,441,16-01-14,English,7,4.5,683.00
Ponniyin Selvan,Kalki,Deepika Arun,பொன்னியின் செல்வன் [Ponniyin Selvan] (Unabridged),3697,08-03-23,Tamil,8,5,699.00
A Political History of the World,Jonathan Holslag,Roy McMillan,NA,905,25-10-18,English,26,4.5,820.00
The Jane Austen Collection,Jane Austen,"Claire Foy, Gugu Mbatha-Raw, Billie Piper, Florence Pugh, Emma Thompson",NA,2700,05-11-20,English,61,4.5,1518.00
"Zen, The Path of Paradox (Vol.1)",OSHO,OSHO,NA,984,01-10-19,English,12,5,445.00
In the Buddha's Words,Bhikkhu Bodhi - editor and translator,Fajer Al-Kaisi,NA,1121,29-07-16,English,13,4.5,1003.00
Animal Farm (Hindi Edition),George Orwell,Prateek Datha Sharma,NA,234,26-10-21,Hindi,97,4.5,501.00
A New Way to Think,Roger L. Martin,Stephen R. Thorne,NA,478,10-05-22,English,4,5,586.00
Sunny Days,Sunil Gavaskar,Avinash Kumar Singh,NA,582,10-05-18,English,17,4,0
And Then She Vanished,Nick Jones,Ray Porter,"The Joseph Bridgeman Series, Book 1",547,02-02-21,English,81,4.5,820.00
The Artificial Intelligence and Generative AI Bible,Alger Fraley,Ralph Mitchell,NA,331,01-02-24,English,0,0,586.00
Yours Raven (Hindi Edition),Hermyne Khaling,Riddhi Thakker,NA,948,13-10-22,Hindi,15,4.5,0
Everything Is F--ked (Hindi Edition),Mark Manson,Anamaya Verma,The Subtle Art of Not Giving a F*ck,598,29-09-23,Hindi,3,5,668.00
Atomic Habits,James Clear,James Clear,NA,335,18-10-18,English,"16,506",5,820.00
"Walk Without Feet, Fly Without Wings and Think Without Mind",Osho,Osho,NA,832,30-11-17,English,13,5,445.00
Taken at the Flood (Dramatised),Agatha Christie,John Moffatt,"Hercule Poirot (Radio, TV), Book 28",132,10-09-10,English,17,4.5,410.00
Who Will Cry When You Die? (Hindi),Robin Sharma,Vikrant Chaturvedi,NA,309,20-02-18,Hindi,225,4.5,203.00
The Ultimate Brian Tracy Library,Brian Tracy,Brian Tracy,Nightingale-Conant: Personal Development,983,30-04-18,English,172,5,2008.00
Mudrarakshas [Currency Monster],Vishakdutt,Avdhesh Tondak,NA,239,15-06-22,Hindi,11,5,0
Alokik Shakti Ke Chamatkar [Psychic Perception:The Magic of Extrasensory Power],Dr. Joseph Murphy,NandKishore Pandey,NA,543,11-11-19,Hindi,27,4.5,212.00
Maut Ke Bad Kuchh Nahin (Hindi Edition),James Hadley Chase,Manish Dongardive,NA,446,19-07-21,Hindi,37,3.5,668.00
To All the Boys I've Loved Before,Jenny Han,Ali Ahn,"To All the Boys I've Loved Before, Book 1",524,14-01-20,English,36,4.5,820.00
Prahlad,Kevin Missal,Rajat Verman,"The Narasimha Trilogy, Book 3",446,20-03-23,English,10,3.5,199.00
Kadal Pura - Part 3,Sandilyan,Bombay Kannan,"Kadal Pura [Sea Pigeon], Book 3",1143,29-12-20,Tamil,98,5,118.00
The Power of Your Subconscious Mind,Dr. Joseph Murphy,Sean Pratt,NA,477,15-11-16,English,159,4.5,351.00
The Whistling Schoolboy and Other Stories of School Life,Ruskin Bond,Adnan Kapadia,NA,172,01-01-17,English,16,5,217.00
Naina (Hindi Edition),Sanjeev Paliwal,Richa Sayal,NA,657,17-02-20,Hindi,56,4,284.00
Peppa Pig: Once Upon a Time,Ladybird,John Sparkes,Peppa Pig,59,28-01-16,English,35,5,410.00
Why I Am a Hindu,Shashi Tharoor,Andrew Hoffland,NA,782,12-05-23,English,57,3.5,836.00
The Tower of Nero,Rick Riordan,Robbie Daymond,"The Trials of Apollo, Book 5",732,06-10-20,English,92,5,615.00
The Perfect Son,Freida McFadden,"Suzie Althens, Daniel Thomas May",NA,478,29-03-22,English,30,4,586.00
For the Love of Physics,"Walter Lewin, Warren Goldstein",Kent Cassella,NA,611,01-08-11,English,27,5,938.00
"Swing Trading for Dummies, 2nd Edition",Omar Bassal CFA,Michael Butler Murray,NA,705,16-07-19,English,11,4.5,703.00
The Writer on the Hill,Ruskin Bond,Sagar Arya,NA,920,20-02-17,English,19,4.5,284.00
Death on the Nile,Agatha Christie,Kenneth Branagh,"The Colonel Race Series, Book 3, Hercule Poirot Mysteries, Book 17",494,30-06-20,English,86,4.5,607.00
No Calculator? No Problem!,"Art Benjamin, The Great Courses",Art Benjamin,NA,346,17-09-19,English,29,5,1003.00
The Bed of Procrustes,Nassim Nicholas Taleb,Sean Pratt,Incerto,101,30-12-10,English,52,4.5,469.00
Million Dollar Habits,Robert Ringer,Bruce Reizen,NA,444,14-02-14,English,26,4.5,668.00
Percy Jackson and the Greek Heroes,Rick Riordan,Jesse Bernstein,Percy Jackson and the Olympians,946,06-08-15,English,33,4.5,820.00
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Stephen Fry,"Wizarding World, Book 4, Harry Potter, Book 4",1254,20-11-15,English,876,5,1599.00
Orwell Collection,George Orwell,Stephen Fry,NA,978,12-01-21,English,250,4.5,1138.00
Case No 56,Chandrashekar Nagawaram,Vikrant Chaturvedi,NA,367,25-11-22,English,23,4.5,668.00
The Mists of Brahma,Christopher C. Doyle,Kaushik Ramachandran,"The Pataala Prophecy, Book 2",664,31-01-20,English,51,4.5,375.00
The Secret,Osho,Osho,NA,2215,10-02-22,English,8,5,445.00
Chapterhouse Dune,Frank Herbert,"Euan Morton, Katherine Kellgren, Scott Brick, Simon Vance","Dune, Book 6",1002,17-02-09,English,8,4.5,221.00
Midnights with The Mystic,"Cheryl Simone, Jaggi Vasudev (Sadhguru)","Cheryl Somone, Sadhguru Jaggi Vasude",NA,414,17-09-10,English,419,4.5,703.00
Mother of Learning Arc 2,"nobody103, Domagoj Kurmaic",Jack Voraces,"Mother of Learning, Book 2",1511,17-05-22,English,7,5,2010.00
Summary of The Power of Now (Hindi Edition),Audiomatic.in,Vijayta Saran,NA,28,13-12-23,Hindi,0,0,79.00
World Without End,Ken Follett,John Lee,"The Kingsbridge Novels, Book 2, Kingsbridge (Publication Order), Book 2",2734,19-10-10,English,39,4.5,323.00
It Happened in India,Biyani Kishore,Shantiraj,NA,501,09-01-17,English,21,4,308.00
"Change Your Schedule, Change Your Life","Dr. Suhas Kshirsagar, Michelle Seaton, Deepak Chopra - foreword",Lesa Lockford,NA,488,30-01-18,English,35,4.5,1172.00
Dragon Planet,Dan Wells,"Emily Woo Zeller, Steve Rimpici, Margaret Ying Drake, full cast","The Zero Chronicles, Book 2",225,12-12-19,English,53,4.5,836.00
How to Be Heard,Julian Treasure,Julian Treasure,NA,749,09-03-18,English,12,4.5,820.00
This Is Me Letting You Go,Heidi Priebe,Devon Sorvari,NA,162,29-01-19,English,12,4,351.00
Uneven Justice,Raj Rajaratnam,Asa Siegel,NA,783,14-12-21,English,7,5,586.00
Someone Who Will Love You in All Your Damaged Glory,Raphael Bob-Waksberg,"Raphael Bob-Waksberg, Full Cast, Nicholas Gonzalez, Colman Domingo, Natalie Morales, Raúl Esparza, Will Brill, Stephanie Beatriz, Emma Galvin",NA,365,11-06-19,English,13,4,879.00
If He Had Been with Me,Laura Nowlin,Gina Rogers,NA,517,22-12-20,English,30,4,586.00
Rigveda,Raj Bahadur Pandey,Swetanshu Bora,NA,470,19-07-21,Hindi,26,4,0
Marketing 4.0,"Philip Kotler, Hermawan Kartajaya, Iwan Setiawan",Jonathan Todd Ross,NA,288,28-05-19,English,141,4.5,469.00
Everything Is F--ked (Marathi Edition),Mark Manson,Krunal Alve,NA,622,31-10-23,Hindi,0,0,836.00
Eating in the Age of Dieting,Rujuta Diwekar,Prachi Chaube,NA,543,18-06-21,English,68,4.5,668.00
Running on Empty,"Christine Musello PsyD, Jonice Webb PhD",Karen White,NA,466,25-06-15,English,9,4.5,820.00
Peevat Ram Ras Lagi Khumari,OSHO,OSHO,NA,812,26-05-17,Hindi,10,5,284.00
"Develop Self-Confidence, Improve Public Speaking",Dale Carnegie,Avinash Kumar Singh,NA,452,25-07-18,English,39,4,119.00
The Butcher's Masquerade,Matt Dinniman,Jeff Hays,"Dungeon Crawler Carl, Book 5",1413,26-05-22,English,12,5,1003.00
Roads to Mussoorie,Ruskin Bond,Fred Stella,NA,185,18-01-17,English,30,4.5,186.00
Nirvana: the Last Nightmare,Osho,Osho,NA,952,01-03-16,English,7,5,445.00
The Essence of the Bhagavad Gita,Swami Kriyananda,Swami Kriyananda,NA,1187,04-05-07,English,51,4.5,843.00
Value Investing (Second Edition),"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark Cooper, Tano Santos",Timothy Andrés Pabon,NA,1106,17-12-20,English,3,4.5,703.00
Dhan ko Akarshit Kaise Kare [How to Attract Money],Dr. Joseph Murphy,Sanyam Sharma,NA,128,26-02-19,Hindi,95,4.5,170.00
Hotel,Arthur Hailey,Chris Abernathy,NA,917,17-03-20,English,43,4.5,703.00
Tom Gates is Absolutely Fantastic (At Some Things),Liz Pichon,Rupert Grint,"Tom Gates, Book 5",133,08-09-15,English,6,4.5,531.00
The Oscar Wilde BBC Radio Drama Collection,Oscar Wilde,"Miriam Margolyes, Judi Dench, Diana Rigg, Michael Sheen, full cast, Martin Jarvis, Martin Clunes, Ian McKellen, Stephen Fry, Simon Russell Beale",NA,718,04-04-19,English,19,4.5,957.00
Megaliving (Hindi),Robin Sharma,Vikrant Chaturvedi,NA,564,22-02-18,Hindi,56,4.5,263.00
The Magic of Self-Respect,Osho,Osho,NA,1756,22-08-16,English,56,5,445.00
The Negotiator,Frederick Forsyth,Steven Pacey,NA,1053,01-08-13,English,43,4.5,797.00
