title,author,narrator,series,runtime (in minutes),release_date,language,total_ratings,stars (out of 5),price (in rupees)
Valmiki Ramayan (Hindi Edition),Valmiki,Ashwini Walia,NA,437,15-06-22,Hindi,150,4.5,0
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Nilotpal Mrinal,Nilotpal Mrinal,NA,373,03-11-20,Hindi,384,5,668.00
Laal Chowk [Red Square],Rohin Kumar,Sumit Kaul,NA,606,07-02-24,Hindi,1,5,836.00
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,"full cast, Robb Moreira, Megan Poppy, James Konicek, Khaya Fraites, Gabriel Michael, LaMont Ridgell, Taylor Coan, Torian Brackett, Rob McFadyen, Laura C. Harris, Jessica Lauren Ball","Empyrean, Book Book 1, Part 2",562,09-02-24,English,0,0,820.00
Ikigai (Hindi Edition),"Hector Garcia, Fransesc Miralles",Poonam Shrivastav,Ikigai (Hindi Edition),282,14-12-22,Hindi,74,4.5,501.00
My Experiments with Truth,Mohandas K. Gandhi,Surjan Singh,NA,1151,14-10-21,English,49,4.5,0
Introduction to Psychology,"Catherine A. Sanderson, The Great Courses",Professor Catherine A. Sanderson,NA,1087,23-04-21,English,21,4.5,1405.00
Meri Gita,Devdutt Pattanaik,Ajay Raj Tomar,NA,459,04-10-17,Hindi,308,4.5,268.00
Why I Am an Atheist and Other Works,Bhagat Singh,Siddhanta Pinto,NA,180,08-04-20,English,295,4.5,0
Da Big Dakka,Mike Brooks,Harry Myers,"Warhammer 40,000",565,24-02-24,English,0,0,1138.00
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,Raymond Todd,NA,691,27-12-98,English,507,4.5,773.00
Jin Sutra Vol.1,OSHO,OSHO,NA,1017,26-05-17,Hindi,19,5,284.00
A Little History of Economics,Niall Kishtainy,Steven Crossley,Little Histories Series,592,07-03-17,English,142,4.5,820.00
Art of Seduction,Robert Greene,Joseph Powers,NA,1371,01-05-15,English,139,4.5,820.00
Fingerprints of the Gods,Graham Hancock,Graham Hancock,NA,1111,09-06-16,English,52,4.5,873.00
HBR Guide to Your Job Search,Harvard Business Review,"Kitty Hendrix, Al Kessel",NA,250,06-02-24,English,0,0,586.00
Generative AI,Harvard Business Review,"Randye Kaye, Mike Lenz",HBR Insights Series,184,27-02-24,English,0,0,351.00
Dharmayoddha Kalki: Avatar of Vishnu,Kevin Missal,Manish Dongardive,"Kalki Trilogy, Book 1",754,14-10-21,English,239,4,836.00
Shrimad Bhagwad Gita (Hindi Edition),R. R. Varma,Kumud Soney,NA,1556,26-10-21,Hindi,152,4.5,0
The Favor,Suzanne Wright,Samantha Cook,NA,923,12-01-21,English,25,4.5,703.00
The Compound Effect,Darren Hardy,Darren Hardy,NA,284,22-01-19,English,"2,667",4.5,608.00
Evolve Your Brain,Joe Dispenza,Sean Runnette,NA,1117,17-01-17,English,94,4.5,1172.00
The Chaos Agent,Mark Greaney,Jay Snyder,"Gray Man, Book 13",1055,20-02-24,English,1,5,1003.00
The Richest Man in Babylon,George S. Clason,Grover Gardner,NA,244,30-12-12,English,453,4.5,501.00
Twisted Hate,Ana Huang,"Cindy Kay, Aiden Snow","Twisted, Book 3",900,19-07-22,English,65,4.5,703.00
Chanakya Aur Chandragupt [Chanakya and Chandragupta],Rajender Pandya,Errol Rodrigues,NA,360,19-07-21,Hindi,152,4.5,0
